City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
699,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
700,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
701,Kashi,CN,39.4547,75.9797,87.01,20,0,4.47,dust
702,Port Lincoln,AU,-34.7333,135.8667,56.32,66,100,11.68,overcast clouds
703,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
704,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
705,Saldanha,ZA,-33.0117,17.9442,41.05,84,40,12.55,scattered clouds
706,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.27,72,16,1.48,few clouds
707,Iqaluit,CA,63.7506,-68.5145,37.13,100,100,3.44,mist
708,Pevek,RU,69.7008,170.3133,34.03,87,83,10.25,broken clouds
709,Bambous Virieux,MU,-20.3428,57.7575,74.21,60,75,12.66,broken clouds
710,Albany,US,42.6001,-73.9662,63.3,87,14,3.85,few clouds
711,Hermanus,ZA,-34.4187,19.2345,53.89,62,73,10.71,broken clouds
712,Hohhot,CN,40.8106,111.6522,88.09,35,0,6.71,clear sky
713,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
714,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
715,Altay,CN,47.8667,88.1167,76.66,30,5,13.22,clear sky
716,Torbay,CA,47.6666,-52.7314,59.29,95,100,19.57,mist
717,Srednebelaya,RU,50.6594,128.0106,79.18,59,100,14.0,overcast clouds
718,Ixtapa,MX,20.7,-105.2,81.23,85,67,2.1,broken clouds
719,Zaysan,KZ,47.4667,84.8667,85.23,19,14,11.97,few clouds
720,Jamestown,US,42.097,-79.2353,62.02,84,70,1.01,broken clouds
721,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,89,0,23.73,clear sky
722,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
723,Hilo,US,19.7297,-155.09,73.62,81,72,3.0,broken clouds
724,Coihaique,CL,-45.5752,-72.0662,30.81,93,75,4.61,broken clouds
725,Nanakuli,US,21.3906,-158.1547,77.11,78,100,0.0,light intensity drizzle
726,Lompoc,US,34.6391,-120.4579,62.02,90,100,13.8,overcast clouds
727,Bardiyah,LY,31.7561,25.0865,81.34,59,0,16.51,clear sky
728,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
729,Albany,US,42.6001,-73.9662,63.3,87,14,3.85,few clouds
730,Severo-Kurilsk,RU,50.6789,156.125,55.58,68,100,10.63,overcast clouds
731,Luderitz,NA,-26.6481,15.1594,51.98,63,0,10.31,clear sky
732,Vaini,TO,-21.2,-175.2,73.56,73,20,5.75,few clouds
733,Qaanaaq,GL,77.484,-69.3632,38.59,99,100,5.64,overcast clouds
734,Nishihara,JP,26.1842,127.7558,87.46,79,75,8.05,broken clouds
735,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
736,Taitung,TW,22.7583,121.1444,89.87,70,20,6.91,few clouds
737,Akdagmadeni,TR,39.6603,35.8836,67.32,59,0,3.58,clear sky
738,Qaanaaq,GL,77.484,-69.3632,38.59,99,100,5.64,overcast clouds
739,Isangel,VU,-19.55,169.2667,80.71,78,75,8.05,broken clouds
740,Saint George,US,37.1041,-113.5841,76.21,13,0,1.03,clear sky
741,Tuatapere,NZ,-46.1333,167.6833,40.77,88,100,3.53,overcast clouds
742,Esperance,AU,-33.8667,121.9,61.7,64,68,14.14,broken clouds
